"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","TITLE","TYPE","VOLUME","YEAR","DOI","URL","AFFILIATIONS","AUTHOR_KEYWORDS","PUBLICATION_STAGE","SOURCE","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","composite_name","author_id","paper_id_author_id","author_order","author_last","author_single","unique_name","OA","Citations"
"Collins2005193","David",NA,"Collins","David Collins","Psychology of Music","2","193 – 216","A synthesis process model of creative thinking in music composition","Article","33",2005,"10.1177/0305735605050651","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-35948954732&doi = 10.1177%2f0305735605050651&partnerID = 40&md5 = 8bbdd3290496b6bb98168e629ff9804c","Doncaster College, United Kingdom; School of Intermedia and Performance Arts, University Centre, Doncaster College; School of Intermedia and Performance Arts, University Centre, Doncaster College, High Melton, Doncaster DN5 7SZ, United Kingdom","Cognition; Creative process","Final","Scopus","United Kingdom","GB","male",1,381854,"David Collins","author1","Collins2005193_author1",1,0,1,"collins_david","Undefined",90
"Jackson2004213","Catherine","S.","Jackson","Catherine S. Jackson","Psychology of Music","2","213 – 220","Route-learning and the Mozart effect","Article","32",2004,"10.1177/0305735604039285","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33745317929&doi = 10.1177%2f0305735604039285&partnerID = 40&md5 = 7def4aa58344e71fa0940c155e79ba05","Flinders University, Australia; School of Psychology, Flinders University, Adelaide, SA 5001, GPO Box 2100, Australia","Classical music; Mazes; Music psychology; Spatial reasoning","Final","Scopus","Australia","AU","female",1,11863,"Catherine Jackson","author1","Jackson2004213_author1",1,0,0,"jackson_catherine","Undefined",12
"Jackson2004213","Michael",NA,"Tlauka","Michael Tlauka","Psychology of Music","2","213 – 220","Route-learning and the Mozart effect","Article","32",2004,"10.1177/0305735604039285","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33745317929&doi = 10.1177%2f0305735604039285&partnerID = 40&md5 = 7def4aa58344e71fa0940c155e79ba05","Flinders University, Australia; School of Psychology, Flinders University, Adelaide, SA 5001, GPO Box 2100, Australia","Classical music; Mazes; Music psychology; Spatial reasoning","Final","Scopus","Australia","AU","male",1,70481,"Michael Tlauka","author2","Jackson2004213_author2",2,1,0,"tlauka_michael","Undefined",12
"Kaminska2000133","Zofia",NA,"Kaminska","Zofia Kaminska","Psychology of Music","2","133 – 153","Melodic line and emotion: Cooke's theory revisited","Article","28",2000,"10.1177/0305735600282003","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-39749086682&doi = 10.1177%2f0305735600282003&partnerID = 40&md5 = 86eace7d6723fd26da58b83b75676567","Department of Psychology, City University, London, ECIV OHB, Northampton Square, United Kingdom",NA,"Final","Scopus","United Kingdom","GB","female",0.98,661,"Zofia Kaminska","author1","Kaminska2000133_author1",1,0,0,"kaminska_zofia","Undefined",20
"Kaminska2000133","Jennifer",NA,"Woolf","Jennifer Woolf","Psychology of Music","2","133 – 153","Melodic line and emotion: Cooke's theory revisited","Article","28",2000,"10.1177/0305735600282003","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-39749086682&doi = 10.1177%2f0305735600282003&partnerID = 40&md5 = 86eace7d6723fd26da58b83b75676567","Department of Psychology, City University, London, ECIV OHB, Northampton Square, United Kingdom",NA,"Final","Scopus","United Kingdom","GB","female",1,48287,"Jennifer Woolf","author2","Kaminska2000133_author2",2,1,0,"woolf_jennifer","Undefined",20
"Wilson200393","Stephanie",NA,"Wilson","Stephanie Wilson","Psychology of Music","1","93 – 112","The effect of music on perceived atmosphere and purchase intentions in a restaurant","Article","31",2003,"10.1177/0305735603031001327","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33646567389&doi = 10.1177%2f0305735603031001327&partnerID = 40&md5 = 36bfb3db607acbf74b93600be548b486","Australia","Consumer behaviour; Listening; Music psychology; Perceived atmosphere; Restaurant","Final","Scopus","Australia","AU","female",1,12412,"Stephanie Wilson","author1","Wilson200393_author1",1,0,1,"wilson_stephanie","Undefined",107
"McCormick200337","John",NA,"McCormick","John McCormick","Psychology of Music","1","37 – 51","The role of self-efficacy in a musical performance examination: An exploratory structural equation analysis","Article","31",2003,"10.1177/0305735603031001322","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-31144474738&doi = 10.1177%2f0305735603031001322&partnerID = 40&md5 = 6b5969051905a8a1d68e71dea5d537c2","University of New South Wales, Australia; School of Education, University of New South Wales, Sydney, Australia; School of Education, University of New South Wales, Sydney 2052, Australia; Department of Music Education, University of New South Wales, Sydney, Australia; School of Music and Music Education, University of New South Wales, Australia, Sydney, Australia","Examinations; Musical performance; Practice; Self-efficacy; Strategy use","Final","Scopus","Australia","AU","male",1,80338,"John McCormick","author1","McCormick200337_author1",1,0,0,"mccormick_john","Undefined",180
"McCormick200337","Gary",NA,"McPherson","Gary McPherson","Psychology of Music","1","37 – 51","The role of self-efficacy in a musical performance examination: An exploratory structural equation analysis","Article","31",2003,"10.1177/0305735603031001322","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-31144474738&doi = 10.1177%2f0305735603031001322&partnerID = 40&md5 = 6b5969051905a8a1d68e71dea5d537c2","University of New South Wales, Australia; School of Education, University of New South Wales, Sydney, Australia; School of Education, University of New South Wales, Sydney 2052, Australia; Department of Music Education, University of New South Wales, Sydney, Australia; School of Music and Music Education, University of New South Wales, Australia, Sydney, Australia","Examinations; Musical performance; Practice; Self-efficacy; Strategy use","Final","Scopus","Australia","AU","male",1,15703,"Gary McPherson","author2","McCormick200337_author2",2,1,0,"mcpherson_gary","Undefined",180
"Ebie2004405","Brian","D.","Ebie","Brian D. Ebie","Psychology of Music","4","405 – 417","The effects of verbal, vocally modeled, kinesthetic, and audio-visual treatment conditions on male and female middle-school vocal music students' abilities to expressively sing melodies","Article","32",2004,"10.1177/0305735604046098","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-33746438774&doi = 10.1177%2f0305735604046098&partnerID = 40&md5 = 1b6d0e4b39a8427efea93a3e8de08969","University of Arizona, Tucson, United States; Department of Music Education, University of Arizona, Tucson, AZ, United States; University of Arizona, Tucson, AZ 85721-0004, United States","Adolescents; Choir; Choral; Convey; Emotion","Final","Scopus","United States","US","male",1,541540,"Brian Ebie","author1","Ebie2004405_author1",1,0,1,"ebie_brian","Undefined",18
"Seddon20014","Frederick","A.","Seddon","Frederick A. Seddon","Psychology of Music","1","4 – 19","An evaluation study of computer-based compositions by children with and without prior experience of formal instrumental music tuition","Article","29",2001,"10.1177/0305735601291002","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-39749108835&doi = 10.1177%2f0305735601291002&partnerID = 40&md5 = a6571f014a32e1cff87e86c71b2aaaa5","Department of Psychology, Keele University, United Kingdom, Staffordshire, ST5 5BG, United Kingdom",NA,"Final","Scopus","United Kingdom","GB","male",1,3443,"Frederick Seddon","author1","Seddon20014_author1",1,0,0,"seddon_frederick","Undefined",21
"Seddon20014","Susan","A.","O'Neill","Susan A. O'Neill","Psychology of Music","1","4 – 19","An evaluation study of computer-based compositions by children with and without prior experience of formal instrumental music tuition","Article","29",2001,"10.1177/0305735601291002","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-39749108835&doi = 10.1177%2f0305735601291002&partnerID = 40&md5 = a6571f014a32e1cff87e86c71b2aaaa5","Department of Psychology, Keele University, United Kingdom, Staffordshire, ST5 5BG, United Kingdom",NA,"Final","Scopus","United Kingdom","GB","female",1,75028,"Susan O'Neill","author2","Seddon20014_author2",2,1,0,"o'neill_susan","Undefined",21
"Shenfield2003365","Tali",NA,"Shenfield","Tali Shenfield","Psychology of Music","4","365 – 375","Maternal singing modulates infant arousal","Article","31",2003,"10.1177/03057356030314002","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-0347019088&doi = 10.1177%2f03057356030314002&partnerID = 40&md5 = 96095a1ee0c978aba6ccafcd0c317d22","University of Toronto, Canada; Department of Pschology, University of Toronto at Mississauga, Mississauga, Ont. L5L 1C6, Canada; Faculty of Humanities, Nagasaki Junshin Catholic University, Japan","Cortisol; Infants; Mothers; Songs","Final","Scopus","Canada","CA","female",0.94,63,"Tali Shenfield","author1","Shenfield2003365_author1",1,0,0,"shenfield_tali","Undefined",164
"Shenfield2003365","Sandra","E.","Trehub","Sandra E. Trehub","Psychology of Music","4","365 – 375","Maternal singing modulates infant arousal","Article","31",2003,"10.1177/03057356030314002","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-0347019088&doi = 10.1177%2f03057356030314002&partnerID = 40&md5 = 96095a1ee0c978aba6ccafcd0c317d22","University of Toronto, Canada; Department of Pschology, University of Toronto at Mississauga, Mississauga, Ont. L5L 1C6, Canada; Faculty of Humanities, Nagasaki Junshin Catholic University, Japan","Cortisol; Infants; Mothers; Songs","Final","Scopus","Canada","CA","female",1,28479,"Sandra Trehub","author2","Shenfield2003365_author2",2,0,0,"trehub_sandra","Undefined",164
