"Gender","composite_name","n"
"female","Johanna Maksimainen",2
"female","Jolan Kegelaers",2
"female","Joyce Gromko",2
"female","Judy Edworthy",2
"female","Julia Kaleńska-Rodzaj",2
"female","Julia Merrill",2
"female","Juliane Völker",2
"female","Junmoni Borgohain",2
"female","Juul Mulder",2
"female","Kagari Shibazaki",2
"female","Kaila Putter",2
"female","Kaisu Krohn",2
"female","Kaori Kurosawa",2
"female","Kaoru Sekiyama",2
"female","Karen Wise",2
"female","Karin Hendricks",2
"female","Karin Petrini",2
"female","Karina Linnell",2
"female","Karlin Love",2
"female","Kat Agres",2
"female","Kateryna Schöning",2
"female","Katharina Schäfer",2
"female","Katherine Eskine",2
"female","Katherine Moore",2
"female","Katherine O’Neill",2
"female","Katherine Vukovics",2
"female","Kathleen Wermke",2
"female","Kathrin Lange",2
"female","Kathrin Smolarczyk",2
"female","Katie Overy",2
"female","Katrin Schulze",2
"female","Kendall Ladd",2
"female","Kim Burwell",2
"female","Klisala Harrison",2
"female","Kristal Spreadborough",2
"female","Kristen Begosh",2
"female","Lara Boyd",2
"female","Laura Stambaugh",2
"female","Laura Thompson",2
"female","Laurel Hicks",2
"female","Leigh VanHandel",2
"female","Li Hu",2
"female","Liesl Van Der Merwe",2
"female","Liesl van der Merwe",2
"female","Linnhe Robertson",2
"female","Lisa Birnbaum",2
"female","Live Kvale",2
"female","Lorna Jakobson",2
"female","Maddalena Murari",2
"female","Madeleine Radnan",2
"female","Manda Fischer",2
"female","Maria Carvalho",2
"female","Maria Pinto",2
"female","Maria Sandgren",2
"female","Marinella Majorano",2
"female","Mariola Laguna",2
"female","Marion Long",2
"female","Martine Timsit-Berthier",2
"female","Marília Nunes-Silva",2
"female","Maya Flannery",2
"female","Mayumi Adachi",2
"female","Meagan Curtis",2
"female","Melissa Jungers",2
"female","Melissa Kirby",2
"female","Mia Kuch",2
"female","Michela Santangelo",2
"female","Mira Müller",2
"female","Miriam Herrera",2
"female","Mădălina Rucsanda",2
"female","N. Ruiz-Reyes",2
"female","Nadia Justel",2
"female","Nancy Hermiston",2
"female","Nanette Nielsen",2
"female","Nataliya Poto",2
"female","Nathalie Gosselin",2
"female","Negin Yeganeh",2
"female","Neta Maimon",2
"female","Nicole Nelson",2
"female","Nori Jacoby",2
"female","Nádia Moura",2
"female","Olivia Ladinig",2
"female","Olivia Wen",2
"female","Olivia Yinger",2
"female","Pastora Martínez-Castilla",2
"female","Patricia Vanzella",2
"female","Patrícia Vanzella",2
"female","Paula Virtala",2
"female","Polina Proutskova",2
"female","Priska Breves",2
"female","Rachel van Besouw",2
"female","Rachna Raman",2
"female","Ramona Kaiser",2
"female","Rebecca Bergstrøm",2
"female","Rebecca Fiebrink",2
"female","Rebecca Gelding",2
"female","Rebecca Johnston",2
"female","Rebecca Schaefer",2
"female","Regina Santos",2
"female","Reyna Gordon",2
"female","Rie Asano",2
"female","Rie Matsunaga",2
"female","Ritu Sikka",2
"female","Riya Sidhu",2
"female","Rosamund Shuter-Dyson",2
"female","Régine Kolinsky",2
"female","Samantha Lewycky",2
